epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.1,1.64661,2.69646,1.56779,0.67458,0.26814,0.27475,0.14763,1.82284,1.51785,1.6747,0.00333038,0.00333038,0.0700266
2,650.201,1.61272,1.54297,1.5656,0.70365,0.3881,0.38621,0.24268,1.81035,1.24378,1.63705,0.00666258,0.00666258,0.0400255
3,941.646,1.61219,1.43075,1.58498,0.61169,0.38579,0.38818,0.22755,1.79956,1.25986,1.65702,0.00999026,0.00999026,0.0100198
4,1232.09,1.60616,1.36346,1.5918,0.7435,0.34321,0.39714,0.24985,1.75995,1.24501,1.64475,0.00998474,0.00998474,0.00998474
5,1519.33,1.58136,1.2495,1.56733,0.74988,0.45203,0.50462,0.34754,1.73936,1.05349,1.58884,0.00997288,0.00997288,0.00997288
6,1805.86,1.56664,1.16502,1.56156,0.70042,0.41841,0.46085,0.30931,1.75144,1.04921,1.62632,0.00995765,0.00995765,0.00995765
7,2093.38,1.5585,1.11167,1.55686,0.68758,0.52978,0.5551,0.39299,1.72672,0.96693,1.61489,0.00993906,0.00993906,0.00993906
8,2379.65,1.55195,1.07981,1.54896,0.62408,0.6448,0.61077,0.44577,1.73388,0.93999,1.59649,0.00991711,0.00991711,0.00991711
9,2666.52,1.54543,1.05546,1.54157,0.76848,0.57242,0.6515,0.49053,1.71415,0.9152,1.56793,0.00989183,0.00989183,0.00989183
10,2955.93,1.54605,1.04122,1.53855,0.68457,0.61986,0.67274,0.51078,1.71281,0.89775,1.57465,0.00986323,0.00986323,0.00986323
11,3242.68,1.54348,1.02819,1.53634,0.68673,0.67187,0.73122,0.56178,1.71687,0.85839,1.57705,0.00983133,0.00983133,0.00983133
12,3528.38,1.53162,1.01181,1.53015,0.76143,0.68641,0.77152,0.60862,1.72076,0.84904,1.57433,0.00979616,0.00979616,0.00979616
13,3814.28,1.53242,0.99882,1.5301,0.75313,0.71912,0.78265,0.61738,1.70918,0.84145,1.56529,0.00975773,0.00975773,0.00975773
14,4100.14,1.53069,0.99759,1.52661,0.74035,0.71569,0.78825,0.61978,1.6984,0.83727,1.56331,0.00971608,0.00971608,0.00971608
15,4385.71,1.52766,0.98501,1.52481,0.80578,0.725,0.80055,0.64142,1.70238,0.83056,1.56155,0.00967122,0.00967122,0.00967122
16,4671.53,1.52997,0.98053,1.52553,0.77594,0.71821,0.82336,0.6624,1.70082,0.81561,1.55489,0.0096232,0.0096232,0.0096232
17,4957.4,1.52678,0.97139,1.52304,0.82512,0.73512,0.83658,0.67282,1.69775,0.80574,1.55386,0.00957205,0.00957205,0.00957205
18,5243.37,1.52346,0.96425,1.52473,0.866,0.74127,0.83806,0.67577,1.69314,0.802,1.55446,0.0095178,0.0095178,0.0095178
19,5529.07,1.51838,0.9632,1.51772,0.84225,0.76773,0.84947,0.68595,1.69557,0.79898,1.55318,0.00946048,0.00946048,0.00946048
20,5815.04,1.51746,0.95297,1.51658,0.84616,0.75981,0.86049,0.69516,1.69561,0.794,1.55392,0.00940014,0.00940014,0.00940014
21,6102.57,1.52,0.95185,1.51881,0.82386,0.80259,0.85973,0.69547,1.6931,0.79248,1.55159,0.00933683,0.00933683,0.00933683
22,6389.55,1.51651,0.95014,1.51597,0.86072,0.80115,0.86437,0.70153,1.69364,0.79037,1.55284,0.00927057,0.00927057,0.00927057
23,6675.53,1.51423,0.94081,1.51442,0.88288,0.80364,0.87039,0.70938,1.69211,0.78464,1.55042,0.00920142,0.00920142,0.00920142
24,6961.83,1.51335,0.94404,1.5159,0.88883,0.80519,0.86869,0.70469,1.69094,0.78254,1.55045,0.00912942,0.00912942,0.00912942
25,7247.65,1.51279,0.9354,1.51232,0.8789,0.81152,0.87177,0.70727,1.68882,0.77932,1.5481,0.00905463,0.00905463,0.00905463
26,7533.57,1.51246,0.93296,1.5143,0.8897,0.81234,0.87356,0.71361,1.688,0.77769,1.54727,0.0089771,0.0089771,0.0089771
27,7819.67,1.50788,0.93077,1.51338,0.9016,0.80625,0.87614,0.71731,1.6889,0.7751,1.54744,0.00889687,0.00889687,0.00889687
28,8106.03,1.51242,0.93059,1.51561,0.87426,0.83022,0.87925,0.72038,1.68887,0.77334,1.54786,0.00881401,0.00881401,0.00881401
29,8392.23,1.50798,0.9224,1.51244,0.88536,0.81749,0.88139,0.72184,1.68916,0.77134,1.54818,0.00872857,0.00872857,0.00872857
30,8678.22,1.50379,0.91623,1.50922,0.88842,0.82316,0.88175,0.72336,1.68928,0.76987,1.54836,0.0086406,0.0086406,0.0086406
31,8964.2,1.50464,0.91481,1.51034,0.88274,0.83108,0.88219,0.72591,1.68928,0.76886,1.54857,0.00855018,0.00855018,0.00855018
32,9250.77,1.5025,0.916,1.51084,0.88396,0.83108,0.88451,0.72748,1.68913,0.76875,1.54887,0.00845736,0.00845736,0.00845736
33,9536.92,1.5035,0.91919,1.50927,0.88864,0.83289,0.8866,0.73091,1.68908,0.76851,1.54879,0.0083622,0.0083622,0.0083622
34,9823.04,1.50368,0.91274,1.50606,0.88375,0.83669,0.88744,0.73112,1.68886,0.76785,1.54864,0.00826477,0.00826477,0.00826477
35,10109.7,1.50065,0.90501,1.50561,0.88292,0.83743,0.89041,0.73444,1.6893,0.76659,1.54861,0.00816514,0.00816514,0.00816514
36,10395.9,1.49714,0.90759,1.5056,0.88959,0.83438,0.89039,0.73376,1.68898,0.76593,1.54844,0.00806337,0.00806337,0.00806337
37,10682.7,1.49811,0.90236,1.50412,0.89487,0.83226,0.89053,0.73457,1.68882,0.7658,1.54835,0.00795954,0.00795954,0.00795954
38,10968.8,1.50287,0.89989,1.50829,0.8947,0.83225,0.89112,0.73526,1.68905,0.76478,1.54825,0.00785371,0.00785371,0.00785371
39,11254.9,1.49545,0.89476,1.50457,0.89711,0.83234,0.89171,0.73607,1.68896,0.76415,1.54816,0.00774596,0.00774596,0.00774596
40,11541.1,1.49723,0.89693,1.50231,0.89845,0.83247,0.8912,0.73487,1.68905,0.76382,1.54807,0.00763637,0.00763637,0.00763637
41,11827.3,1.49539,0.88995,1.50048,0.90167,0.83159,0.89151,0.7355,1.68913,0.76307,1.5479,0.007525,0.007525,0.007525
42,12113.6,1.49676,0.8887,1.50087,0.89835,0.83709,0.89191,0.73627,1.68901,0.76238,1.54753,0.00741194,0.00741194,0.00741194
43,12400.1,1.49107,0.89043,1.50374,0.88979,0.84544,0.89345,0.73759,1.6888,0.76148,1.54727,0.00729725,0.00729725,0.00729725
44,12686.2,1.49282,0.88966,1.50019,0.8771,0.86184,0.89383,0.73802,1.68906,0.76106,1.5472,0.00718103,0.00718103,0.00718103
45,12972.5,1.48849,0.88191,1.49968,0.8826,0.86525,0.89437,0.73824,1.68898,0.76008,1.54686,0.00706335,0.00706335,0.00706335
46,13259,1.48882,0.87742,1.49938,0.87964,0.86562,0.89503,0.73999,1.68878,0.75943,1.54655,0.00694428,0.00694428,0.00694428
47,13545.4,1.48803,0.87707,1.49719,0.88207,0.86521,0.89636,0.74092,1.68815,0.75883,1.54611,0.00682392,0.00682392,0.00682392
48,13831.7,1.48828,0.87827,1.49771,0.88657,0.86348,0.89696,0.74127,1.68813,0.75837,1.54598,0.00670234,0.00670234,0.00670234
49,14117.8,1.48654,0.87781,1.49695,0.88536,0.86369,0.89699,0.7412,1.68791,0.75792,1.54582,0.00657963,0.00657963,0.00657963
50,14404.2,1.48467,0.87425,1.49842,0.89183,0.86078,0.89751,0.74209,1.68815,0.75733,1.54604,0.00645588,0.00645588,0.00645588
51,14690.6,1.48606,0.87032,1.49796,0.89149,0.86177,0.89999,0.74387,1.68807,0.75667,1.54582,0.00633115,0.00633115,0.00633115
52,14976.8,1.48391,0.86724,1.49346,0.8998,0.85604,0.9016,0.74546,1.68807,0.7556,1.54554,0.00620555,0.00620555,0.00620555
53,15263.1,1.4884,0.87144,1.49644,0.89982,0.85944,0.90475,0.74965,1.68806,0.75477,1.54537,0.00607916,0.00607916,0.00607916
54,15569.8,1.48228,0.86544,1.49368,0.89748,0.86127,0.90552,0.75057,1.68776,0.75363,1.54479,0.00595207,0.00595207,0.00595207
55,15898,1.48049,0.86553,1.49147,0.89909,0.86204,0.90626,0.75219,1.68764,0.75252,1.54449,0.00582435,0.00582435,0.00582435
56,16184.3,1.48139,0.8544,1.48946,0.90208,0.86099,0.91156,0.75737,1.68737,0.75171,1.54409,0.0056961,0.0056961,0.0056961
57,16470.4,1.47991,0.85477,1.4896,0.90399,0.85992,0.91263,0.75751,1.68732,0.75051,1.54385,0.00556742,0.00556742,0.00556742
58,16756.5,1.47688,0.85289,1.48901,0.90874,0.85681,0.91271,0.75751,1.68715,0.74967,1.54362,0.00543837,0.00543837,0.00543837
59,17042.5,1.47985,0.85628,1.49292,0.90696,0.85796,0.91359,0.7594,1.68689,0.74926,1.54321,0.00530906,0.00530906,0.00530906
60,17328.6,1.4791,0.84943,1.48928,0.90687,0.86009,0.92774,0.77326,1.687,0.74881,1.54335,0.00517958,0.00517958,0.00517958
61,17614.7,1.47631,0.8465,1.4884,0.90775,0.86334,0.93013,0.77453,1.68722,0.74829,1.54326,0.00505,0.00505,0.00505
62,17901.1,1.47333,0.84073,1.4854,0.90798,0.86291,0.93061,0.77481,1.68739,0.74755,1.54312,0.00492042,0.00492042,0.00492042
63,18187.2,1.47552,0.8424,1.4845,0.91061,0.86196,0.93313,0.77752,1.68724,0.74664,1.54287,0.00479094,0.00479094,0.00479094
64,18473.7,1.46861,0.83713,1.4812,0.90855,0.8634,0.94045,0.7851,1.68731,0.74563,1.54264,0.00466163,0.00466163,0.00466163
65,18760.2,1.47501,0.83214,1.48509,0.91094,0.86341,0.9406,0.78536,1.68744,0.74471,1.54243,0.00453258,0.00453258,0.00453258
66,19046.2,1.47115,0.8358,1.48417,0.91001,0.86477,0.94122,0.78594,1.68768,0.74422,1.54246,0.0044039,0.0044039,0.0044039
67,19333.9,1.46576,0.83213,1.48061,0.90937,0.86735,0.9413,0.78662,1.68787,0.7437,1.54238,0.00427565,0.00427565,0.00427565
68,19621.9,1.46596,0.8253,1.4785,0.90795,0.86938,0.94154,0.78719,1.68791,0.74324,1.54218,0.00414793,0.00414793,0.00414793
69,19907.9,1.46339,0.82393,1.47965,0.90889,0.87097,0.94202,0.78781,1.68791,0.74292,1.54204,0.00402084,0.00402084,0.00402084
70,20193.9,1.46374,0.82591,1.48161,0.90844,0.87101,0.94222,0.78819,1.68794,0.74256,1.54215,0.00389445,0.00389445,0.00389445
71,20480,1.4617,0.82602,1.47657,0.90903,0.87031,0.94238,0.78854,1.68787,0.74223,1.54192,0.00376885,0.00376885,0.00376885
72,20766.1,1.46226,0.81781,1.47761,0.90794,0.87131,0.9426,0.78832,1.68763,0.74156,1.54172,0.00364412,0.00364412,0.00364412
73,21053.9,1.46315,0.81828,1.4792,0.90683,0.87178,0.94301,0.78919,1.6875,0.74053,1.54143,0.00352037,0.00352037,0.00352037
74,21340.8,1.45782,0.8129,1.47822,0.90751,0.87452,0.94357,0.78988,1.68756,0.73948,1.54136,0.00339766,0.00339766,0.00339766
75,21627.2,1.45972,0.81201,1.47765,0.90679,0.87434,0.94386,0.79003,1.6875,0.73873,1.54124,0.00327608,0.00327608,0.00327608
76,21913.9,1.45618,0.8074,1.47654,0.85631,0.92201,0.94439,0.79017,1.68729,0.73791,1.54093,0.00315572,0.00315572,0.00315572
77,22201.6,1.45438,0.8068,1.47403,0.85705,0.92198,0.93766,0.7837,1.68708,0.73741,1.54066,0.00303665,0.00303665,0.00303665
78,22492.4,1.45264,0.80464,1.47185,0.85634,0.92334,0.93805,0.78352,1.6872,0.73666,1.54062,0.00291897,0.00291897,0.00291897
79,22781.1,1.4501,0.79839,1.46993,0.85642,0.92331,0.93799,0.78357,1.68725,0.73579,1.54054,0.00280275,0.00280275,0.00280275
80,23067.4,1.44793,0.7994,1.47115,0.85875,0.92326,0.93813,0.7836,1.68739,0.7347,1.54055,0.00268806,0.00268806,0.00268806
81,23353.6,1.44851,0.7957,1.46764,0.86018,0.92326,0.93819,0.7843,1.6873,0.73431,1.5404,0.002575,0.002575,0.002575
82,23639.9,1.45024,0.79234,1.47306,0.86271,0.9226,0.93855,0.78472,1.68758,0.73365,1.54052,0.00246363,0.00246363,0.00246363
83,23926.2,1.44382,0.78642,1.46703,0.86417,0.92275,0.93864,0.78567,1.68759,0.73294,1.5404,0.00235404,0.00235404,0.00235404
84,24212.2,1.44607,0.78885,1.46731,0.86758,0.92259,0.93875,0.78589,1.68786,0.73254,1.54049,0.00224629,0.00224629,0.00224629
85,24498.7,1.44109,0.78448,1.46666,0.87686,0.92143,0.93899,0.78592,1.68804,0.73198,1.54047,0.00214046,0.00214046,0.00214046
86,24785.6,1.44377,0.7828,1.46843,0.8821,0.91934,0.93897,0.78602,1.68837,0.73172,1.5405,0.00203663,0.00203663,0.00203663
87,25072.1,1.43843,0.77339,1.46332,0.88776,0.91756,0.93946,0.78618,1.68856,0.73114,1.54051,0.00193486,0.00193486,0.00193486
88,25358.2,1.43415,0.77406,1.46198,0.89063,0.91574,0.93962,0.78649,1.68855,0.73075,1.54045,0.00183523,0.00183523,0.00183523
89,25644.5,1.43286,0.7731,1.46129,0.89327,0.91452,0.94004,0.78696,1.68872,0.73007,1.5405,0.0017378,0.0017378,0.0017378
90,25930.6,1.43741,0.772,1.46199,0.90108,0.91098,0.94005,0.78682,1.68889,0.7294,1.54051,0.00164264,0.00164264,0.00164264
91,26217.3,1.43689,0.77023,1.46064,0.91396,0.91257,0.94083,0.7874,1.68918,0.72901,1.54048,0.00154982,0.00154982,0.00154982
92,26504.4,1.43346,0.76654,1.46067,0.9189,0.90892,0.9409,0.78799,1.68966,0.72838,1.54064,0.0014594,0.0014594,0.0014594
93,26790.6,1.42734,0.76108,1.45577,0.91415,0.91283,0.94154,0.78861,1.68992,0.72809,1.54067,0.00137143,0.00137143,0.00137143
94,27076.8,1.42807,0.76244,1.45711,0.88312,0.917,0.94154,0.78822,1.69017,0.72773,1.54077,0.00128599,0.00128599,0.00128599
